684.00,961.00,0.00,0.00,0.00,0.00
697.00,961.00,0.00,0.00,0.00,0.00
697.00,961.00,10.00,0.00,0.00,0.00
700.00,959.00,10.00,0.00,0.00,0.00
700.00,959.00,0.00,0.00,0.00,0.00
705.00,959.00,0.00,0.00,0.00,0.00
705.00,957.00,0.00,0.00,0.00,0.00
711.00,957.00,0.00,0.00,0.00,0.00
711.00,955.00,0.00,0.00,0.00,0.00
714.00,955.00,0.00,0.00,0.00,0.00
714.00,953.00,0.00,0.00,0.00,0.00
716.00,953.00,0.00,0.00,0.00,0.00
716.00,951.00,0.00,0.00,0.00,0.00
719.00,951.00,0.00,0.00,0.00,0.00
719.00,947.00,0.00,0.00,0.00,0.00
719.00,947.00,10.00,0.00,0.00,0.00
722.00,945.00,10.00,0.00,0.00,0.00
722.00,945.00,0.00,0.00,0.00,0.00
722.00,941.00,0.00,0.00,0.00,0.00
722.00,941.00,10.00,0.00,0.00,0.00
725.00,939.00,10.00,0.00,0.00,0.00
725.00,939.00,0.00,0.00,0.00,0.00
725.00,933.00,0.00,0.00,0.00,0.00
727.00,933.00,0.00,0.00,0.00,0.00
727.00,931.00,0.00,0.00,0.00,0.00
730.00,931.00,0.00,0.00,0.00,0.00
730.00,929.00,0.00,0.00,0.00,0.00
733.00,929.00,0.00,0.00,0.00,0.00
733.00,927.00,0.00,0.00,0.00,0.00
735.00,927.00,0.00,0.00,0.00,0.00
735.00,925.00,0.00,0.00,0.00,0.00
738.00,925.00,0.00,0.00,0.00,0.00
738.00,923.00,0.00,0.00,0.00,0.00
741.00,923.00,0.00,0.00,0.00,0.00
741.00,921.00,0.00,0.00,0.00,0.00
746.00,921.00,0.00,0.00,0.00,0.00
746.00,921.00,10.00,0.00,0.00,0.00
749.00,919.00,10.00,0.00,0.00,0.00
749.00,919.00,0.00,0.00,0.00,0.00
757.00,919.00,0.00,0.00,0.00,0.00
757.00,917.00,0.00,0.00,0.00,0.00
763.00,917.00,0.00,0.00,0.00,0.00
763.00,916.00,0.00,0.00,0.00,0.00
766.00,916.00,0.00,0.00,0.00,0.00
766.00,914.00,0.00,0.00,0.00,0.00
768.00,914.00,0.00,0.00,0.00,0.00
768.00,912.00,0.00,0.00,0.00,0.00
771.00,912.00,0.00,0.00,0.00,0.00
771.00,908.00,0.00,0.00,0.00,0.00
771.00,908.00,10.00,0.00,0.00,0.00
774.00,906.00,10.00,0.00,0.00,0.00
774.00,906.00,0.00,0.00,0.00,0.00
774.00,900.00,0.00,0.00,0.00,0.00
776.00,898.00,0.00,0.00,0.00,0.00
776.00,894.00,0.00,0.00,0.00,0.00
776.00,894.00,10.00,0.00,0.00,0.00
779.00,892.00,10.00,0.00,0.00,0.00
779.00,892.00,0.00,0.00,0.00,0.00
779.00,886.00,0.00,0.00,0.00,0.00
776.00,886.00,0.00,0.00,0.00,0.00
776.00,884.00,0.00,0.00,0.00,0.00
774.00,884.00,0.00,0.00,0.00,0.00
774.00,880.00,0.00,0.00,0.00,0.00
776.00,880.00,0.00,0.00,0.00,0.00
776.00,876.00,0.00,0.00,0.00,0.00
776.00,876.00,10.00,0.00,0.00,0.00
779.00,874.00,10.00,0.00,0.00,0.00
779.00,874.00,0.00,0.00,0.00,0.00
779.00,870.00,0.00,0.00,0.00,0.00
779.00,870.00,10.00,0.00,0.00,0.00
782.00,868.00,10.00,0.00,0.00,0.00
782.00,868.00,0.00,0.00,0.00,0.00
782.00,864.00,0.00,0.00,0.00,0.00
782.00,864.00,10.00,0.00,0.00,0.00
